id_e,comments,lat,lon,source_platform,sub_area,est_date,likes,crawl_date
XL001,在宜昌，遇见中国最迷人的江滨公园,30.696038,111.295501,xiaohongshu,滨江公园,2026-05-02,146,2026-06-12
XL002,宜昌！随手铺开就是一副山水画卷,30.732141,111.344332,xiaohongshu,滨江公园,2026-06-03,92,2026-06-12
XL003,宜昌城区半日游（葛洲坝+滨江公园）,30.7185,111.289534,xiaohongshu,滨江公园,2026-06-06,5,2026-06-12
XL004,来宜昌，最想带回去的，是滨江公园！！,30.721652,111.335169,xiaohongshu,滨江公园,2026-05-31,70,2026-06-12
XL005,26.6.10的滨江公园 好美！,30.725181,111.289724,xiaohongshu,滨江公园,2026-06-10,9,2026-06-12
XL006,宜昌的滨江公园 真的很美,30.733848,111.35167,xiaohongshu,滨江公园,2026-05-08,80,2026-06-12
XL007,宜昌可太夯了～,30.705065,111.367691,xiaohongshu,滨江公园,2026-05-31,181,2026-06-12
XL008,宜昌，免费的才是最惊艳的！,30.726332,111.356081,xiaohongshu,滨江公园,2026-06-06,14,2026-06-12
XL009,宜昌旅游，必打卡的景点（1）,30.736363,111.351809,xiaohongshu,滨江公园,2026-04-02,704,2026-06-12
XL010,宜昌真的太太太干净了！,30.722217,111.306454,xiaohongshu,滨江公园,2026-04-17,108,2026-06-12
XL011,《得闲谨制》演员带你游宜昌之No.10:滨江绿道,30.72751,111.354166,xiaohongshu,滨江公园,2025-12-14,148,2026-06-12
XL012,宜昌CBD有变态偷窥狂,30.724232,111.357585,xiaohongshu,CBD商圈,2026-03-24,22,2026-06-12
XL013,宜昌藏在cbd巷子一条街的宝藏店铺,30.701307,111.290514,xiaohongshu,CBD商圈,2025-10-26,197,2026-06-12
XL014,熬夜整理！宜昌CBD小吃街土著不踩雷推荐,30.696801,111.274841,xiaohongshu,CBD商圈,2026-05-02,287,2026-06-12
XL015,宜昌cbd三期，等了一个月的效果图终于出来啦,30.700398,111.277085,xiaohongshu,CBD商圈,2025-06-21,31,2026-06-12
XL016,不懂就问，这条街为什么这么火,30.707313,111.333666,xiaohongshu,CBD商圈,2026-05-04,145,2026-06-12
XL017,宜昌cbd小吃街top4！！（我说的）,30.694947,111.30557,xiaohongshu,CBD商圈,2026-04-02,86,2026-06-12
XL018,宜昌CBD｜逛街+美食攻略（附路线图）～无广,30.726762,111.334973,xiaohongshu,CBD商圈,2025-11-03,220,2026-06-12
XL019,宜昌C位新规划不开个万象城对不起这块地,30.736315,111.284507,xiaohongshu,CBD商圈,2026-01-25,100,2026-06-12
XL020,宜昌冬日citywalk｜慢逛老城烟火,30.708477,111.283689,xiaohongshu,CBD商圈,2025-12-16,90,2026-06-12
XL021,离开宜昌一定要喝的coffee（+吃遍特色美食,30.732772,111.325335,xiaohongshu,CBD商圈,2026-04-11,415,2026-06-12
XL022,到宜昌了，有没有推荐的好玩的好吃的,30.740047,111.355589,xiaohongshu,CBD商圈,2025-12-12,358,2026-06-12
XL023,宜昌cbd货车榴莲 让人很不开心#避雷,30.699583,111.299779,xiaohongshu,CBD商圈,2026-04-30,18,2026-06-12
XL024,宜昌Citywalk｜从早逛吃到晚的快乐路线,30.70332,111.359136,xiaohongshu,解放路步行街,2026-04-26,553,2026-06-12
XL025,宜昌这条街有点好吃,30.709765,111.335757,xiaohongshu,解放路步行街,2025-12-16,154,2026-06-12
XL026,宜昌最全City Walk路线！本地人推荐！,30.714798,111.363176,xiaohongshu,解放路步行街,2025-08-30,5027,2026-06-12
XL027,宜昌解放路个人很爱的12家…,30.697903,111.294427,xiaohongshu,解放路步行街,2026-04-04,494,2026-06-12
XL028,本地人推荐！宜昌人最爱逛的citywalk路线,30.699185,111.325802,xiaohongshu,解放路步行街,2025-09-27,903,2026-06-12
XL029,（宜昌）记住这个位置。。经常买的一家！！,30.749745,111.328259,xiaohongshu,解放路步行街,2025-01-23,130,2026-06-12
XL030,宜昌本地人会来解放路步行街排队吃不,30.695729,111.308662,xiaohongshu,解放路步行街,2025-10-19,66,2026-06-12
XL031,宜昌 Citywalk 天花板路线！直接抄作业,30.72822,111.278,xiaohongshu,解放路步行街,2025-10-31,81,2026-06-12
XL032,文件宜昌Citywalk路线｜打卡+美食/攻略,30.711877,111.350216,xiaohongshu,解放路步行街,2025-11-25,831,2026-06-12
